row,col,character,reason,verdict,notes
11,2,genuinely clear,named tile,clear,Farmland with small villages; a few bright rooftops/roads are the only thing any detector could mistake for cloud.
6,5,moderate cloud,named tile,cloud,Large well-defined cumulus mass covers roughly half the tile with a sharp, opaque edge; unambiguous.
5,16,heavy cloud,named tile,cloud,Near-total cloud cover, thick and opaque; unambiguous.
12,19,"thin cirrus veil, the tile that flips (SPEC.md 3.5)",named tile,thin_cloud,Semi-transparent haze across the whole tile with denser cumulus patches on top -- ground is visible through it everywhere. This is the textbook thin/ambiguous case D7 is about; excluded from strict scoring below.
9,17,,top-12 disagreement (33.1761 pp between threshold and s2cloudless),cloud,Multiple large, opaque, well-defined cumulus cells with clear gaps between; substantial real cloud coverage well over a third of the tile.
10,17,,top-12 disagreement (23.6652 pp between threshold and s2cloudless),cloud,Extensive bright cloud plus heavy shadow; ESA (30.4%) and threshold (29.6%) both independently land almost exactly on the 30% cut, which is consistent with genuine substantial coverage near that boundary rather than a clear miss either way.
13,19,,top-12 disagreement (23.4405 pp between threshold and s2cloudless),cloud,Dense, largely continuous cloud deck; unambiguous.
13,18,,top-12 disagreement (23.0374 pp between threshold and s2cloudless),cloud,Dense cloud texture throughout with only small clear breaks; unambiguous.
15,19,,top-12 disagreement (22.4764 pp between threshold and s2cloudless),cloud,Substantial bright cumulus plus a large shadow band; clear farmland is a minority of the frame.
11,17,,top-12 disagreement (19.5819 pp between threshold and s2cloudless),clear,"Real cumulus cluster in the upper-right, but the bright cloud itself -- not counting its shadow -- looks like roughly 15-20% of the tile, well under a third; most of the frame is clearly visible farmland. Judged strictly on visible cloud, not shadow (the task asks for cloud coverage, not shadow); a shadow-inclusive reading would call this tile cloud instead, so treat this specific verdict as a closer call than most others here."
9,16,,top-12 disagreement (19.0729 pp between threshold and s2cloudless),cloud,Large, distinct cumulus clusters over roughly half the tile; unambiguous.
14,18,,top-12 disagreement (18.8964 pp between threshold and s2cloudless),cloud,Dense cloud coverage similar to the other heavy tiles in this sample; unambiguous.
10,16,,top-12 disagreement (18.7574 pp between threshold and s2cloudless),clear,"A shadow band and a couple of cumulus clusters, but the bright cloud itself looks like roughly 20-25% of the tile; a visible village and farmland occupy the majority. Same shadow-vs-cloud caveat as 11,17: a shadow-inclusive reading would likely call this cloud instead."
11,19,,top-12 disagreement (18.2723 pp between threshold and s2cloudless),clear,"Similar to 10,16: real cumulus and shadow across the top, but bright cloud alone looks like roughly 20-22% of the tile, with a visible village and clearly open farmland covering the majority. Same shadow-vs-cloud caveat as 11,17/10,16."
10,18,,top-12 disagreement (17.0215 pp between threshold and s2cloudless),cloud,A solid, opaque cumulus mass in the upper portion looks like roughly 30-35% of the tile on its own, not counting shadow; substantial and close to the cut, similar to 10,17.
12,18,,top-12 disagreement (15.9518 pp between threshold and s2cloudless),cloud,Extensive cumulus cell coverage across most of the frame; unambiguous.
